date,sales
2008-01-01,42959
2008-02-01,39539
2008-03-01,50866
2008-04-01,61707
2008-05-01,72048
2008-06-01,62005
2008-07-01,49772
2008-08-01,44718
2008-09-01,50049
2008-10-01,52594
2008-11-01,47974
2008-12-01,42023
2009-01-01,41326
2009-02-01,38486
2009-03-01,50686
2009-04-01,61605
2009-05-01,70494
2009-06-01,62580
2009-07-01,53737
2009-08-01,45060
2009-09-01,50738
2009-10-01,53981
2009-11-01,49644
2009-12-01,44184
2010-01-01,40895
2010-02-01,38503
2010-03-01,50300
2010-04-01,62656
2010-05-01,72126
2010-06-01,64134
2010-07-01,51482
2010-08-01,43534
2010-09-01,49904
2010-10-01,51334
2010-11-01,49609
2010-12-01,43389
2011-01-01,41036
2011-02-01,39577
2011-03-01,50683
2011-04-01,61073
2011-05-01,71501
2011-06-01,64554
2011-07-01,53600
2011-08-01,45758
2011-09-01,52269
2011-10-01,55018
2011-11-01,51673
2011-12-01,44793
2012-01-01,43757
2012-02-01,40203
2012-03-01,51681
2012-04-01,64930
2012-05-01,75746
2012-06-01,66195
2012-07-01,55046
2012-08-01,47916
2012-09-01,53912
2012-10-01,56601
2012-11-01,53847
2012-12-01,47187
2013-01-01,46727
2013-02-01,41989
2013-03-01,56652
2013-04-01,68376
2013-05-01,77639
2013-06-01,69526
2013-07-01,54526
2013-08-01,47410
2013-09-01,54848
2013-10-01,58313
2013-11-01,52848
2013-12-01,46175
2014-01-01,43702
2014-02-01,43136
2014-03-01,55262
2014-04-01,66939
2014-05-01,78311
2014-06-01,69358
2014-07-01,58799
2014-08-01,49561
2014-09-01,56254
2014-10-01,57719
2014-11-01,53079
2014-12-01,47611
2015-01-01,46032
2015-02-01,42975
2015-03-01,55588
2015-04-01,66743
2015-05-01,76570
2015-06-01,67831
2015-07-01,54535
2015-08-01,47517
2015-09-01,54691
2015-10-01,58970
2015-11-01,55185
2015-12-01,48393
2016-01-01,46376
2016-02-01,42312
2016-03-01,55716
2016-04-01,68992
2016-05-01,83014
2016-06-01,72477
2016-07-01,60166
2016-08-01,51691
2016-09-01,57535
2016-10-01,60817
2016-11-01,57386
2016-12-01,50875
2017-01-01,47992
2017-02-01,47418
2017-03-01,59227
2017-04-01,73838
2017-05-01,86443
2017-06-01,75044
2017-07-01,61117
2017-08-01,53035
2017-09-01,60479
2017-10-01,60743
2017-11-01,57196
2017-12-01,49122
2018-01-01,48463
2018-02-01,44212
2018-03-01,60322
2018-04-01,71433
2018-05-01,80923
2018-06-01,74148
2018-07-01,59277
2018-08-01,51590
2018-09-01,60428
2018-10-01,61380
2018-11-01,57815
2018-12-01,51482
2019-01-01,49823
2019-02-01,46143
2019-03-01,58107
2019-04-01,73142
2019-05-01,84480
2019-06-01,74688
2019-07-01,62297
2019-08-01,52658
2019-09-01,59980
2019-10-01,63830
2019-11-01,58389
2019-12-01,53266
2020-01-01,50813
2020-02-01,47352
2020-03-01,63168
2020-04-01,75024
2020-05-01,88134
2020-06-01,79459
2020-07-01,63608
2020-08-01,56453
2020-09-01,64240
2020-10-01,67679
2020-11-01,65498
2020-12-01,55711
2021-01-01,53052
2021-02-01,50033
2021-03-01,63852
2021-04-01,79181
2021-05-01,91003
2021-06-01,80498
2021-07-01,67558
2021-08-01,57371
2021-09-01,67133
2021-10-01,68644
2021-11-01,66566
2021-12-01,58636
2022-01-01,55649
2022-02-01,52035
2022-03-01,68931
2022-04-01,83598
2022-05-01,97414
2022-06-01,86780
2022-07-01,70445
2022-08-01,59977
2022-09-01,66152
2022-10-01,69505
2022-11-01,64619
2022-12-01,56899
2023-01-01,53941
2023-02-01,51767
2023-03-01,67177
2023-04-01,80950
2023-05-01,93450
2023-06-01,82877
2023-07-01,66687
2023-08-01,58673
2023-09-01,68126
2023-10-01,72118
2023-11-01,67621
2023-12-01,57676
